kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.770300385,170.57662,0.838,2.0844,1.3040e+03,2.77,812,102.87,50.8,1,200,1,q1_q17_dr25_tce,5653,4.656,-0.84,0.679,0.767,,15.591
3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.444291966,169.865406,1.258,2.0792,1.0967e+04,27.51,1836,2706.26,299.7,1,1466,1,q1_q17_dr25_tce,5255,4.678,-0.72,0.636,0.709,,15.748
3115833,K00797.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,10.181584,177.141891,0.92,3.5089,5.7411e+03,7.73,812,102.91,183.6,1,129,1,q1_q17_dr25_tce,5988,4.541,-0.52,0.836,0.885,,15.657
4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,1,0,0,0,0,20.06036336,147.46554,0.556,3.3203,1.4947e+03,1.96,361,4,35.2,4,59,2,q1_q17_dr25_tce,3950,4.754,-0.46,0.493,0.502,,15.954
4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1,0,0,0,0,46.1842039,165.23729,0.013,4.758,1.3947e+03,1.83,273,1.32,26,4,25,3,q1_q17_dr25_tce,3950,4.754,-0.46,0.493,0.502,,15.954
8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.952,0,0,0,0,23.9800854,147.537,0.95,5.351,1.0400e+02,1.31,649,41.94,17.1,4,56,4,q1_q17_dr25_tce,5854,4.406,-0.12,1.012,0.951,,12.882
4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0.994,0,0,0,0,7.82502168,136.54995,0.708,2.186,5.2080e+02,1.2,494,14.05,15.9,4,154,4,q1_q17_dr25_tce,3950,4.754,-0.46,0.493,0.502,,15.954
4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.895936525,170.527552,0.524,2.3111,8.5448e+03,7.34,1005,241.62,370.8,1,275,1,q1_q17_dr25_tce,5557,4.592,-0.3,0.774,0.866,,15.725
4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,22.36646466,175.45862,0.4,5.228,9.8680e+02,2.32,536,19.45,32.1,1,48,1,q1_q17_dr25_tce,5395,4.615,-0.34,0.734,0.821,,15.583
3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1,0,0,0,0,1.625522174,170.8266564,0.076,2.38963,7.9690e+03,9.73,1579,1467.41,799.7,1,657,1,q1_q17_dr25_tce,5539,4.322,0.16,1.106,0.935,,15.001
3453214,K00802.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,19.62034692,181.881819,0.458,2.0038,2.1725e+04,13.6,643,40.39,340.5,1,52,1,q1_q17_dr25_tce,5710,4.492,-0.1,0.905,0.928,,15.562
3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,7.544039,171.7982,1.175,6.222,3.2260e+02,17.47,838,116.46,14.2,1,143,2,q1_q17_dr25_tce,5657,4.567,-0.18,0.824,0.919,,15.559
3641726,K00804.01,Kepler-1727 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.02930689,177.20422,0.024,3.1449,1.0198e+03,2.57,757,77.75,53.9,1,146,1,q1_q17_dr25_tce,5349,4.526,-0.12,0.82,0.824,,15.387
3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.053,0,1,0,0,10.32803571,174.581054,0.281,7.7915,1.6918e+04,13.28,843,119.31,636.8,1,114,1,q1_q17_dr25_tce,5627,4.359,-0.1,1.024,0.874,,15.646
3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,1,0,0,0,0,143.2063047,154.23552,0.379,8.9302,1.0566e+04,8.9,308,2.14,138.8,5,9,2,q1_q17_dr25_tce,5485,4.556,0.21,0.867,0.986,,15.403
